,PM2_5,PM10,SO2,NO2,CO,O3,AQI
130,57.0,59.0,10.0,12.0,0.8,122.0,78.0
131,48.0,50.0,6.0,8.0,0.6,126.0,66.0
132,47.0,49.0,6.0,7.0,0.6,125.0,65.0
133,47.0,49.0,5.0,7.0,0.6,123.0,65.0
134,46.0,48.0,5.0,7.0,0.6,124.0,63.0
135,45.0,47.0,5.0,8.0,0.6,125.0,62.0
136,42.0,45.0,5.0,9.0,0.6,124.0,59.0
137,40.0,44.0,6.0,12.0,0.6,119.0,57.0
138,45.0,51.0,10.0,21.0,0.9,103.0,63.0
139,51.0,57.0,12.0,28.0,1.0,90.0,69.0
140,53.0,60.0,14.0,33.0,1.0,78.0,73.0
141,51.0,56.0,14.0,35.0,1.0,69.0,69.0
142,47.0,52.0,15.0,36.0,1.0,63.0,65.0
143,45.0,49.0,15.0,36.0,1.0,60.0,63.0
144,45.0,49.0,15.0,37.0,1.0,56.0,63.0
145,45.0,48.0,16.0,39.0,1.0,52.0,63.0
146,45.0,47.0,17.0,41.0,1.1,47.0,62.0
147,43.0,45.0,18.0,42.0,1.1,41.0,60.0
148,40.0,43.0,19.0,44.0,1.1,34.0,57.0
149,38.0,40.0,19.0,44.0,1.1,28.0,53.0
150,35.0,37.0,21.0,39.0,1.1,31.0,50.0
151,34.0,36.0,22.0,31.0,1.2,37.0,48.0
152,37.0,41.0,18.0,23.0,1.0,42.0,52.0
153,29.0,33.0,10.0,14.0,0.4,60.0,42.0
154,21.0,24.0,8.0,11.0,0.3,74.0,31.0
155,17.0,20.0,6.0,9.0,0.3,84.0,26.0
156,15.0,17.0,5.0,8.0,0.2,91.0,28.0
157,14.0,16.0,5.0,8.0,0.2,97.0,30.0
158,13.0,16.0,5.0,8.0,0.2,98.0,31.0
159,13.0,15.0,5.0,9.0,0.2,98.0,31.0
160,13.0,16.0,5.0,10.0,0.2,98.0,30.0
161,15.0,18.0,5.0,12.0,0.3,94.0,29.0
162,23.0,28.0,11.0,23.0,0.6,81.0,32.0
163,31.0,38.0,18.0,37.0,0.9,68.0,44.0
164,38.0,46.0,24.0,50.0,1.2,54.0,54.0
165,42.0,50.0,28.0,58.0,1.5,43.0,59.0
166,46.0,53.0,31.0,65.0,1.8,36.0,63.0
167,48.0,55.0,34.0,72.0,2.1,30.0,66.0
