,PM2_5,PM10,SO2,NO2,CO,O3,AQI
113,49.0,56.0,9.0,11.0,0.5,131.0,68.0
114,60.0,69.0,13.0,18.0,0.7,121.0,82.0
115,72.0,82.0,16.0,23.0,0.9,111.0,97.0
116,81.0,92.0,18.0,26.0,0.9,102.0,108.0
117,87.0,96.0,20.0,28.0,1.0,94.0,114.0
118,91.0,99.0,22.0,31.0,1.0,87.0,120.0
119,94.0,101.0,25.0,34.0,1.1,81.0,124.0
120,95.0,101.0,27.0,37.0,1.2,77.0,125.0
121,94.0,99.0,29.0,39.0,1.3,75.0,124.0
122,93.0,97.0,31.0,41.0,1.4,73.0,122.0
123,90.0,94.0,32.0,43.0,1.5,71.0,119.0
124,89.0,92.0,33.0,44.0,1.6,68.0,117.0
125,89.0,92.0,34.0,46.0,1.9,61.0,118.0
126,91.0,95.0,35.0,49.0,2.2,53.0,120.0
127,94.0,97.0,37.0,47.0,2.4,51.0,123.0
128,98.0,103.0,34.0,37.0,2.3,61.0,129.0
129,88.0,93.0,21.0,20.0,1.3,101.0,116.0
130,61.0,63.0,11.0,12.0,0.8,123.0,83.0
131,48.0,50.0,6.0,8.0,0.6,128.0,66.0
132,46.0,48.0,6.0,7.0,0.6,127.0,64.0
133,46.0,49.0,5.0,7.0,0.6,124.0,64.0
134,46.0,48.0,5.0,7.0,0.6,124.0,64.0
135,45.0,48.0,5.0,8.0,0.6,126.0,63.0
136,44.0,46.0,5.0,9.0,0.6,125.0,61.0
137,42.0,46.0,6.0,12.0,0.6,120.0,59.0
138,47.0,53.0,10.0,20.0,0.9,105.0,65.0
139,51.0,58.0,13.0,26.0,1.0,93.0,70.0
140,54.0,61.0,15.0,31.0,1.0,82.0,73.0
141,51.0,57.0,15.0,33.0,1.0,71.0,71.0
142,48.0,53.0,15.0,34.0,1.0,64.0,66.0
143,46.0,50.0,15.0,34.0,1.0,61.0,63.0
144,45.0,49.0,16.0,35.0,1.0,57.0,63.0
145,46.0,49.0,17.0,37.0,1.1,52.0,63.0
146,45.0,48.0,18.0,39.0,1.1,48.0,63.0
147,44.0,46.0,19.0,41.0,1.1,42.0,61.0
148,42.0,44.0,20.0,43.0,1.1,35.0,58.0
149,39.0,41.0,21.0,44.0,1.1,30.0,55.0
150,37.0,39.0,22.0,38.0,1.2,33.0,52.0
151,35.0,38.0,23.0,31.0,1.2,37.0,50.0
152,38.0,42.0,20.0,23.0,1.0,42.0,53.0
153,30.0,34.0,11.0,14.0,0.5,59.0,43.0
154,22.0,25.0,8.0,11.0,0.3,73.0,32.0
155,18.0,21.0,7.0,9.0,0.3,83.0,26.0
156,15.0,18.0,6.0,8.0,0.2,90.0,28.0
157,14.0,17.0,5.0,8.0,0.2,96.0,30.0
158,14.0,16.0,5.0,8.0,0.2,98.0,31.0
159,14.0,16.0,5.0,9.0,0.2,97.0,30.0
160,14.0,16.0,5.0,10.0,0.2,97.0,30.0
161,15.0,19.0,6.0,12.0,0.2,94.0,29.0
162,24.0,30.0,11.0,22.0,0.5,82.0,34.0
163,33.0,40.0,18.0,35.0,0.8,69.0,47.0
164,40.0,48.0,25.0,47.0,1.2,55.0,56.0
165,42.0,50.0,29.0,55.0,1.4,45.0,59.0
166,45.0,52.0,33.0,61.0,1.6,38.0,63.0
167,48.0,55.0,36.0,67.0,1.9,30.0,66.0
