,PM2_5,PM10,SO2,NO2,CO,O3,AQI
106,28.0,31.0,5.0,5.0,0.2,130.0,41.0
107,27.0,30.0,5.0,4.0,0.2,132.0,41.0
108,29.0,33.0,6.0,4.0,0.2,133.0,42.0
109,32.0,35.0,6.0,3.0,0.2,135.0,45.0
110,33.0,37.0,6.0,4.0,0.2,138.0,47.0
111,35.0,39.0,6.0,4.0,0.2,139.0,50.0
112,39.0,43.0,6.0,5.0,0.3,139.0,55.0
113,44.0,49.0,8.0,7.0,0.3,135.0,61.0
114,54.0,61.0,11.0,13.0,0.5,127.0,74.0
115,63.0,72.0,13.0,16.0,0.5,121.0,86.0
116,70.0,78.0,14.0,17.0,0.6,115.0,93.0
117,73.0,80.0,15.0,19.0,0.6,109.0,97.0
118,77.0,83.0,17.0,20.0,0.6,103.0,102.0
119,81.0,87.0,20.0,22.0,0.7,97.0,107.0
120,84.0,89.0,22.0,25.0,0.8,92.0,111.0
121,86.0,90.0,25.0,27.0,0.8,91.0,113.0
122,85.0,89.0,29.0,30.0,0.9,92.0,113.0
123,84.0,88.0,32.0,32.0,1.0,91.0,112.0
124,83.0,86.0,34.0,36.0,1.1,87.0,110.0
125,85.0,88.0,36.0,41.0,1.4,77.0,112.0
126,89.0,93.0,38.0,47.0,1.8,63.0,118.0
127,93.0,96.0,42.0,49.0,2.2,56.0,122.0
128,97.0,102.0,39.0,40.0,2.1,61.0,128.0
129,85.0,90.0,22.0,22.0,1.3,102.0,113.0
130,63.0,66.0,13.0,15.0,0.8,122.0,85.0
131,51.0,54.0,8.0,10.0,0.7,129.0,70.0
132,48.0,51.0,7.0,8.0,0.6,128.0,66.0
133,49.0,52.0,6.0,8.0,0.6,125.0,67.0
134,48.0,51.0,6.0,8.0,0.6,123.0,66.0
135,48.0,50.0,6.0,9.0,0.6,124.0,66.0
136,47.0,50.0,6.0,11.0,0.6,123.0,64.0
137,46.0,50.0,7.0,14.0,0.7,117.0,63.0
138,51.0,58.0,12.0,23.0,0.9,102.0,70.0
139,57.0,65.0,16.0,31.0,1.1,88.0,77.0
140,59.0,67.0,19.0,37.0,1.1,77.0,80.0
141,57.0,63.0,19.0,40.0,1.1,67.0,77.0
142,53.0,58.0,20.0,41.0,1.1,60.0,72.0
143,49.0,54.0,20.0,42.0,1.1,56.0,68.0
144,48.0,52.0,20.0,43.0,1.1,53.0,66.0
145,48.0,51.0,21.0,44.0,1.2,48.0,66.0
146,47.0,51.0,23.0,47.0,1.2,44.0,65.0
147,46.0,49.0,24.0,49.0,1.2,39.0,64.0
148,44.0,47.0,25.0,51.0,1.2,32.0,61.0
149,41.0,44.0,26.0,52.0,1.2,27.0,58.0
150,39.0,41.0,27.0,45.0,1.3,31.0,55.0
151,37.0,40.0,28.0,36.0,1.3,37.0,53.0
152,39.0,44.0,23.0,26.0,1.0,44.0,56.0
153,31.0,35.0,12.0,15.0,0.5,61.0,44.0
154,24.0,27.0,9.0,12.0,0.3,75.0,34.0
155,19.0,22.0,7.0,10.0,0.3,84.0,27.0
156,16.0,19.0,6.0,9.0,0.2,90.0,28.0
157,15.0,18.0,5.0,8.0,0.2,96.0,30.0
158,15.0,17.0,5.0,9.0,0.2,98.0,31.0
159,14.0,17.0,5.0,10.0,0.2,96.0,30.0
160,15.0,17.0,5.0,11.0,0.2,95.0,30.0
161,16.0,20.0,6.0,13.0,0.3,92.0,29.0
162,25.0,32.0,12.0,24.0,0.5,80.0,36.0
163,36.0,44.0,21.0,39.0,0.8,65.0,51.0
164,43.0,52.0,29.0,53.0,1.2,50.0,60.0
165,45.0,53.0,34.0,62.0,1.3,39.0,63.0
166,46.0,53.0,39.0,70.0,1.6,32.0,64.0
167,47.0,53.0,43.0,76.0,1.8,26.0,66.0
