,PM2_5,PM10,SO2,NO2,CO,O3,AQI
127,91.0,94.0,33.0,42.0,2.3,59.0,120.0
128,94.0,98.0,32.0,34.0,2.1,69.0,123.0
129,83.0,86.0,19.0,19.0,1.2,103.0,110.0
130,57.0,59.0,9.0,10.0,0.7,123.0,77.0
131,47.0,49.0,6.0,7.0,0.6,127.0,65.0
132,46.0,48.0,5.0,6.0,0.6,126.0,64.0
133,45.0,47.0,5.0,6.0,0.6,124.0,63.0
134,44.0,46.0,4.0,6.0,0.5,125.0,61.0
135,43.0,45.0,4.0,7.0,0.6,127.0,60.0
136,41.0,43.0,4.0,8.0,0.6,126.0,57.0
137,39.0,42.0,5.0,10.0,0.6,121.0,55.0
138,43.0,48.0,8.0,17.0,0.8,107.0,60.0
139,47.0,53.0,10.0,23.0,0.9,95.0,65.0
140,50.0,56.0,12.0,27.0,0.9,84.0,68.0
141,47.0,53.0,12.0,29.0,0.9,75.0,66.0
142,45.0,50.0,13.0,30.0,0.9,68.0,62.0
143,44.0,48.0,13.0,30.0,0.9,65.0,61.0
144,44.0,47.0,13.0,31.0,0.9,61.0,61.0
145,44.0,47.0,14.0,33.0,0.9,57.0,62.0
146,44.0,46.0,15.0,35.0,1.0,51.0,61.0
147,42.0,44.0,16.0,37.0,1.0,45.0,59.0
148,40.0,42.0,17.0,38.0,1.0,38.0,56.0
149,37.0,39.0,17.0,39.0,1.0,32.0,52.0
150,34.0,36.0,18.0,34.0,1.0,34.0,49.0
151,33.0,35.0,19.0,28.0,1.0,38.0,47.0
152,35.0,39.0,16.0,21.0,0.9,42.0,50.0
153,28.0,31.0,10.0,13.0,0.4,60.0,40.0
154,21.0,23.0,7.0,10.0,0.3,74.0,29.0
155,16.0,19.0,6.0,9.0,0.2,84.0,26.0
156,14.0,16.0,5.0,7.0,0.2,91.0,29.0
157,13.0,15.0,4.0,7.0,0.2,98.0,31.0
158,13.0,15.0,4.0,7.0,0.2,99.0,31.0
159,12.0,15.0,4.0,8.0,0.2,99.0,31.0
160,12.0,15.0,4.0,9.0,0.2,99.0,31.0
161,14.0,16.0,5.0,11.0,0.2,96.0,30.0
162,21.0,26.0,9.0,20.0,0.5,84.0,30.0
163,28.0,34.0,15.0,31.0,0.8,73.0,40.0
164,34.0,41.0,20.0,41.0,1.0,61.0,49.0
165,38.0,45.0,24.0,48.0,1.3,52.0,54.0
166,42.0,49.0,27.0,54.0,1.5,44.0,59.0
167,44.0,51.0,29.0,59.0,1.7,37.0,62.0
