,PM2_5,PM10,SO2,NO2,CO,O3,AQI
136,46.0,48.0,6.0,12.0,0.7,121.0,63.0
137,44.0,48.0,7.0,16.0,0.7,115.0,61.0
138,50.0,57.0,12.0,28.0,1.0,97.0,69.0
139,57.0,65.0,16.0,37.0,1.2,81.0,78.0
140,61.0,69.0,19.0,44.0,1.3,68.0,82.0
141,57.0,63.0,19.0,46.0,1.3,59.0,77.0
142,52.0,57.0,19.0,47.0,1.3,53.0,71.0
143,48.0,53.0,19.0,46.0,1.2,51.0,66.0
144,47.0,51.0,19.0,47.0,1.3,47.0,65.0
145,47.0,50.0,21.0,50.0,1.3,43.0,65.0
146,46.0,49.0,22.0,51.0,1.3,39.0,64.0
147,45.0,48.0,23.0,53.0,1.3,33.0,62.0
148,42.0,45.0,23.0,55.0,1.3,27.0,59.0
149,39.0,42.0,24.0,55.0,1.4,22.0,55.0
150,37.0,39.0,25.0,47.0,1.4,27.0,52.0
151,35.0,38.0,27.0,38.0,1.5,34.0,51.0
152,39.0,45.0,22.0,28.0,1.2,41.0,56.0
153,32.0,36.0,12.0,15.0,0.5,61.0,45.0
154,23.0,26.0,9.0,13.0,0.4,75.0,33.0
155,19.0,22.0,7.0,11.0,0.3,84.0,27.0
156,16.0,19.0,6.0,10.0,0.3,90.0,28.0
157,15.0,18.0,6.0,9.0,0.3,95.0,30.0
158,15.0,18.0,5.0,10.0,0.3,96.0,30.0
159,15.0,17.0,5.0,11.0,0.3,96.0,30.0
160,15.0,18.0,6.0,13.0,0.3,95.0,30.0
161,17.0,20.0,6.0,15.0,0.3,91.0,28.0
162,27.0,34.0,14.0,30.0,0.8,74.0,38.0
163,37.0,45.0,22.0,48.0,1.2,57.0,52.0
164,46.0,55.0,31.0,66.0,1.6,39.0,63.0
165,50.0,59.0,37.0,78.0,1.9,26.0,68.0
166,53.0,62.0,41.0,87.0,2.3,20.0,72.0
167,55.0,63.0,46.0,97.0,2.7,15.0,76.0
